Summary,Issue Type,Description,Epic Name,Epic Link,Labels
MP-60 - Weekly planner grid,Story,"*Concepts:* derived data, key on a 2-D structure

h3. Subtasks
* 7 days x 4 meal types grid; week navigation (prev/this/next)
* Each cell lists planned recipes with a remove button

h3. Acceptance criteria
* One {{GET /meal-plan?from=&to=}} per week change, not per cell
* Empty cells show an ""Add"" affordance
* Today's column is visually marked

h3. Definition of done
* All acceptance criteria personally verified in the browser
* {{npm run build}} - zero TS errors
* {{npm run lint}} - zero warnings (incl. react-hooks/exhaustive-deps; if disabled, comment why on that line)
* Loading / error / empty / success all render, if the ticket touches data
* Every effect that subscribes, unsubscribes
* Every fetch is abortable
* No index keys on dynamic lists
* A note in LEARNING.md - the concept, the Angular equivalent, and the one thing that surprised you",,PHASE 6 - Meal plan,frontend planner components
MP-61 - Add-to-plan flow,Story,"h3. Subtasks
* Click a cell -> modal -> pick date/meal type (pre-filled) -> search recipe -> servings -> save
* Also reachable from a recipe detail page (""Add to plan"")

h3. Acceptance criteria
* The grid updates without a full page reload
* Adding the same recipe twice to one slot is prevented with a clear message
* The modal closes only on success

h3. Definition of done
* All acceptance criteria personally verified in the browser
* {{npm run build}} - zero TS errors
* {{npm run lint}} - zero warnings (incl. react-hooks/exhaustive-deps; if disabled, comment why on that line)
* Loading / error / empty / success all render, if the ticket touches data
* Every effect that subscribes, unsubscribes
* Every fetch is abortable
* No index keys on dynamic lists
* A note in LEARNING.md - the concept, the Angular equivalent, and the one thing that surprised you",,PHASE 6 - Meal plan,frontend planner forms
MP-62 - Daily macro totals,Story,"*Concepts:* useMemo on real derived data, and knowing when it is pointless

h3. Subtasks
* Total calories + protein per day, shown under each day column
* Compute client-side from loaded plan data

h3. Acceptance criteria
* Totals update immediately on add/remove
* The useMemo dependency array is exactly the plan slice it reads
* *And* you have measured whether the memo actually helps here - if it does not, remove it and write down why (this is a legitimate outcome of the ticket)

h3. Definition of done
* All acceptance criteria personally verified in the browser
* {{npm run build}} - zero TS errors
* {{npm run lint}} - zero warnings (incl. react-hooks/exhaustive-deps; if disabled, comment why on that line)
* Loading / error / empty / success all render, if the ticket touches data
* Every effect that subscribes, unsubscribes
* Every fetch is abortable
* No index keys on dynamic lists
* A note in LEARNING.md - the concept, the Angular equivalent, and the one thing that surprised you",,PHASE 6 - Meal plan,frontend planner performance
MP-63 - Week navigation with keyboard shortcuts,Story,"*Concepts:* useEffect event listeners, useRef for non-render values

h3. Subtasks
* Left/right arrows change week; {{t}} jumps to today

h3. Acceptance criteria
* Listener is removed on unmount (add/remove logged to prove it)
* Shortcuts do not fire while typing in an input

h3. Definition of done
* All acceptance criteria personally verified in the browser
* {{npm run build}} - zero TS errors
* {{npm run lint}} - zero warnings (incl. react-hooks/exhaustive-deps; if disabled, comment why on that line)
* Loading / error / empty / success all render, if the ticket touches data
* Every effect that subscribes, unsubscribes
* Every fetch is abortable
* No index keys on dynamic lists
* A note in LEARNING.md - the concept, the Angular equivalent, and the one thing that surprised you",,PHASE 6 - Meal plan,frontend planner a11y hooks
MP-64 - useLocalStorage for view preferences,Story,"*Concepts:* custom hook, lazy useState init

h3. Subtasks
* Persist last-viewed week and grid/list toggle

h3. Acceptance criteria
* Preference survives refresh
* A corrupt localStorage value does not crash the app (the try/catch in the lazy initialiser)

h3. Definition of done
* All acceptance criteria personally verified in the browser
* {{npm run build}} - zero TS errors
* {{npm run lint}} - zero warnings (incl. react-hooks/exhaustive-deps; if disabled, comment why on that line)
* Loading / error / empty / success all render, if the ticket touches data
* Every effect that subscribes, unsubscribes
* Every fetch is abortable
* No index keys on dynamic lists
* A note in LEARNING.md - the concept, the Angular equivalent, and the one thing that surprised you",,PHASE 6 - Meal plan,frontend hooks planner
MP-70 - Prep-timer todo list,Story,"*Concepts:* consuming derived server data, date handling, optimistic toggle

h3. Subtasks
* *First:* write the bucketing rule from Section 4 of the roadmap down as prose, agree it, then implement
* /todos page grouped by day -> meal slot
* Checkbox toggle with optimistic UI, rolled back on failure

h3. Acceptance criteria
* Planning Tuesday lunch beans (12h soak) produces a todo in the agreed slot - assert the exact expected timestamp in the ticket
* Unchecking and rechecking survives a refresh
* Removing the plan entry removes the undone todo
* A failed toggle visibly reverts

h3. Definition of done
* All acceptance criteria personally verified in the browser
* {{npm run build}} - zero TS errors
* {{npm run lint}} - zero warnings (incl. react-hooks/exhaustive-deps; if disabled, comment why on that line)
* Loading / error / empty / success all render, if the ticket touches data
* Every effect that subscribes, unsubscribes
* Every fetch is abortable
* No index keys on dynamic lists
* A note in LEARNING.md - the concept, the Angular equivalent, and the one thing that surprised you",,PHASE 7 - Todos & shopping list,frontend todos dates
MP-71 - Todo timer / countdown,Story,"*Concepts:* setInterval in an effect, cleanup, stale closures

h3. Subtasks
* Relative ""due in 4h 20m"" that ticks

h3. Acceptance criteria
* One interval per mounted component, cleared on unmount
* The displayed value uses fresh state, not a stale closure (the classic setInterval + useState bug - hit it, then fix it with the updater form or a ref)

h3. Definition of done
* All acceptance criteria personally verified in the browser
* {{npm run build}} - zero TS errors
* {{npm run lint}} - zero warnings (incl. react-hooks/exhaustive-deps; if disabled, comment why on that line)
* Loading / error / empty / success all render, if the ticket touches data
* Every effect that subscribes, unsubscribes
* Every fetch is abortable
* No index keys on dynamic lists
* A note in LEARNING.md - the concept, the Angular equivalent, and the one thing that surprised you",,PHASE 7 - Todos & shopping list,frontend todos hooks
MP-72 - Weekly shopping list,Story,"h3. Subtasks
* /shopping?from=&to= - grouped by ingredient category, quantities summed, unit-aware
* Check-off state persisted locally

h3. Acceptance criteria
* Two recipes using 200g + 300g chickpeas show one 500g line
* Mismatched units (g vs cups) are shown separately rather than wrongly summed
* The list recalculates when the plan changes

h3. Definition of done
* All acceptance criteria personally verified in the browser
* {{npm run build}} - zero TS errors
* {{npm run lint}} - zero warnings (incl. react-hooks/exhaustive-deps; if disabled, comment why on that line)
* Loading / error / empty / success all render, if the ticket touches data
* Every effect that subscribes, unsubscribes
* Every fetch is abortable
* No index keys on dynamic lists
* A note in LEARNING.md - the concept, the Angular equivalent, and the one thing that surprised you",,PHASE 7 - Todos & shopping list,frontend shopping
MP-73 - Export / print view,Story,"h3. Subtasks
* A print stylesheet or copy-to-clipboard

h3. Acceptance criteria
* Printed output has no nav chrome

h3. Definition of done
* All acceptance criteria personally verified in the browser
* {{npm run build}} - zero TS errors
* {{npm run lint}} - zero warnings (incl. react-hooks/exhaustive-deps; if disabled, comment why on that line)
* Loading / error / empty / success all render, if the ticket touches data
* Every effect that subscribes, unsubscribes
* Every fetch is abortable
* No index keys on dynamic lists
* A note in LEARNING.md - the concept, the Angular equivalent, and the one thing that surprised you",,PHASE 7 - Todos & shopping list,frontend shopping ux
MP-80 - Today's panel,Story,"h3. Subtasks
* Today's meals by slot, today's todos, today's macro totals

h3. Acceptance criteria
* One round trip for the whole dashboard (or a documented reason why more)
* Each panel has its own loading/empty state so a slow panel does not block the others

h3. Definition of done
* All acceptance criteria personally verified in the browser
* {{npm run build}} - zero TS errors
* {{npm run lint}} - zero warnings (incl. react-hooks/exhaustive-deps; if disabled, comment why on that line)
* Loading / error / empty / success all render, if the ticket touches data
* Every effect that subscribes, unsubscribes
* Every fetch is abortable
* No index keys on dynamic lists
* A note in LEARNING.md - the concept, the Angular equivalent, and the one thing that surprised you",,PHASE 8 - Dashboard,frontend dashboard
MP-81 - Week-at-a-glance,Story,"h3. Subtasks
* Compact 7-day strip linking into the planner

h3. Acceptance criteria
* Links carry the week into /planner via search params

h3. Definition of done
* All acceptance criteria personally verified in the browser
* {{npm run build}} - zero TS errors
* {{npm run lint}} - zero warnings (incl. react-hooks/exhaustive-deps; if disabled, comment why on that line)
* Loading / error / empty / success all render, if the ticket touches data
* Every effect that subscribes, unsubscribes
* Every fetch is abortable
* No index keys on dynamic lists
* A note in LEARNING.md - the concept, the Angular equivalent, and the one thing that surprised you",,PHASE 8 - Dashboard,frontend dashboard
MP-82 - Suggest more like this,Story,"h3. Subtasks
* Links from today's ingredients to the pantry-filtered recipe search

h3. Acceptance criteria
* The link lands on /recipes with the filters pre-applied via URL (reusing MP-52 - no new state mechanism)

h3. Definition of done
* All acceptance criteria personally verified in the browser
* {{npm run build}} - zero TS errors
* {{npm run lint}} - zero warnings (incl. react-hooks/exhaustive-deps; if disabled, comment why on that line)
* Loading / error / empty / success all render, if the ticket touches data
* Every effect that subscribes, unsubscribes
* Every fetch is abortable
* No index keys on dynamic lists
* A note in LEARNING.md - the concept, the Angular equivalent, and the one thing that surprised you",,PHASE 8 - Dashboard,frontend dashboard
MP-90 - Measure first,Story,"Do this phase *after* the app works. That is the point: you profile a real app, not a hypothetical one.

h3. Subtasks
* React DevTools Profiler: record interactions on the recipe list, planner grid, and search
* Enable ""Highlight updates when components render""
* Write a short findings note: which components re-render that should not, with commit durations

h3. Acceptance criteria
* You have a written before-list of at least three concrete over-rendering problems, with numbers. No fixes yet.

h3. Definition of done
* All acceptance criteria personally verified in the browser
* {{npm run build}} - zero TS errors
* {{npm run lint}} - zero warnings (incl. react-hooks/exhaustive-deps; if disabled, comment why on that line)
* Loading / error / empty / success all render, if the ticket touches data
* Every effect that subscribes, unsubscribes
* Every fetch is abortable
* No index keys on dynamic lists
* A note in LEARNING.md - the concept, the Angular equivalent, and the one thing that surprised you",,PHASE 9 - Performance pass,frontend performance profiling
MP-91 - React.memo + useCallback + stable props,Story,"Do this phase *after* the app works. That is the point: you profile a real app, not a hypothetical one.

h3. Subtasks
* Fix the findings from MP-90 - memo on RecipeCard/PlannerCell, useCallback on handlers passed to them, useMemo on object/array props

h3. Acceptance criteria
* Re-profile and show each finding measurably improved
* Every memo you added is justified by a number in the MP-90 note
* You removed at least one memo that did not help (there will be one)

h3. Definition of done
* All acceptance criteria personally verified in the browser
* {{npm run build}} - zero TS errors
* {{npm run lint}} - zero warnings (incl. react-hooks/exhaustive-deps; if disabled, comment why on that line)
* Loading / error / empty / success all render, if the ticket touches data
* Every effect that subscribes, unsubscribes
* Every fetch is abortable
* No index keys on dynamic lists
* A note in LEARNING.md - the concept, the Angular equivalent, and the one thing that surprised you",,PHASE 9 - Performance pass,frontend performance
MP-92 - Context splitting & state colocation,Story,"*Concepts:* the re-render cost of context, moving state down

Do this phase *after* the app works. That is the point: you profile a real app, not a hypothetical one.

h3. Subtasks
* Split any context where consumers only need part of it (e.g. auth user vs auth actions)
* Find state living too high and colocate it downward

h3. Acceptance criteria
* A component consuming only auth *actions* does not re-render when user changes
* At least one piece of state moved down and the parent's render count dropped

h3. Definition of done
* All acceptance criteria personally verified in the browser
* {{npm run build}} - zero TS errors
* {{npm run lint}} - zero warnings (incl. react-hooks/exhaustive-deps; if disabled, comment why on that line)
* Loading / error / empty / success all render, if the ticket touches data
* Every effect that subscribes, unsubscribes
* Every fetch is abortable
* No index keys on dynamic lists
* A note in LEARNING.md - the concept, the Angular equivalent, and the one thing that surprised you",,PHASE 9 - Performance pass,frontend performance state
MP-93 - Virtualization,Story,"Do this phase *after* the app works. That is the point: you profile a real app, not a hypothetical one.

h3. Subtasks
* @tanstack/react-virtual on the recipe list (seed 500+ recipes to make it real)

h3. Acceptance criteria
* DOM node count stays roughly constant while scrolling 500 rows
* Scroll stays at 60fps
* Row heights do not jump

h3. Definition of done
* All acceptance criteria personally verified in the browser
* {{npm run build}} - zero TS errors
* {{npm run lint}} - zero warnings (incl. react-hooks/exhaustive-deps; if disabled, comment why on that line)
* Loading / error / empty / success all render, if the ticket touches data
* Every effect that subscribes, unsubscribes
* Every fetch is abortable
* No index keys on dynamic lists
* A note in LEARNING.md - the concept, the Angular equivalent, and the one thing that surprised you",,PHASE 9 - Performance pass,frontend performance
MP-94 - Error boundaries,Story,"Do this phase *after* the app works. That is the point: you profile a real app, not a hypothetical one.

h3. Subtasks
* A boundary around the router's lazy routes; errorElement on route branches
* Chunk-load failure offers a reload

h3. Acceptance criteria
* Throwing inside a page shows the boundary, not a white screen
* The rest of the shell (nav) still works
* A simulated failed chunk load offers reload

h3. Definition of done
* All acceptance criteria personally verified in the browser
* {{npm run build}} - zero TS errors
* {{npm run lint}} - zero warnings (incl. react-hooks/exhaustive-deps; if disabled, comment why on that line)
* Loading / error / empty / success all render, if the ticket touches data
* Every effect that subscribes, unsubscribes
* Every fetch is abortable
* No index keys on dynamic lists
* A note in LEARNING.md - the concept, the Angular equivalent, and the one thing that surprised you",,PHASE 9 - Performance pass,frontend error-handling
MP-95 - Prefetch on hover,Story,"Do this phase *after* the app works. That is the point: you profile a real app, not a hypothetical one.

h3. Subtasks
* onMouseEnter triggers the route's dynamic import()

h3. Acceptance criteria
* Hovering a nav link fetches the chunk before the click
* Navigation after hovering shows no skeleton

h3. Definition of done
* All acceptance criteria personally verified in the browser
* {{npm run build}} - zero TS errors
* {{npm run lint}} - zero warnings (incl. react-hooks/exhaustive-deps; if disabled, comment why on that line)
* Loading / error / empty / success all render, if the ticket touches data
* Every effect that subscribes, unsubscribes
* Every fetch is abortable
* No index keys on dynamic lists
* A note in LEARNING.md - the concept, the Angular equivalent, and the one thing that surprised you",,PHASE 9 - Performance pass,frontend performance routing
MP-100 - React 19 form APIs,Story,"h3. Subtasks
* Rebuild the login or recipe form with useActionState + useFormStatus
* Use useOptimistic for the todo toggle
* Compare with your hand-rolled version

h3. Definition of done
* All acceptance criteria personally verified in the browser
* {{npm run build}} - zero TS errors
* {{npm run lint}} - zero warnings (incl. react-hooks/exhaustive-deps; if disabled, comment why on that line)
* Loading / error / empty / success all render, if the ticket touches data
* Every effect that subscribes, unsubscribes
* Every fetch is abortable
* No index keys on dynamic lists
* A note in LEARNING.md - the concept, the Angular equivalent, and the one thing that surprised you",,PHASE 10 - Stretch,frontend stretch react19 forms
MP-101 - Replace the fetch hooks with TanStack Query,Story,"h3. Subtasks
* Replace MP-31/32's hooks with TanStack Query
* Write up what it gave you (cache, dedupe, refetch, stale-while-revalidate) and what you lost

h3. Acceptance criteria
* The retrospective write-up is the actual deliverable

h3. Definition of done
* All acceptance criteria personally verified in the browser
* {{npm run build}} - zero TS errors
* {{npm run lint}} - zero warnings (incl. react-hooks/exhaustive-deps; if disabled, comment why on that line)
* Loading / error / empty / success all render, if the ticket touches data
* Every effect that subscribes, unsubscribes
* Every fetch is abortable
* No index keys on dynamic lists
* A note in LEARNING.md - the concept, the Angular equivalent, and the one thing that surprised you",,PHASE 10 - Stretch,frontend stretch data-fetching
MP-102 - useSyncExternalStore,Story,"h3. Subtasks
* useSyncExternalStore for online/offline status
* Cross-tab sync of the shopping list

h3. Definition of done
* All acceptance criteria personally verified in the browser
* {{npm run build}} - zero TS errors
* {{npm run lint}} - zero warnings (incl. react-hooks/exhaustive-deps; if disabled, comment why on that line)
* Loading / error / empty / success all render, if the ticket touches data
* Every effect that subscribes, unsubscribes
* Every fetch is abortable
* No index keys on dynamic lists
* A note in LEARNING.md - the concept, the Angular equivalent, and the one thing that surprised you",,PHASE 10 - Stretch,frontend stretch hooks
MP-103 - Tests,Story,"h3. Subtasks
* Vitest + Testing Library on the reducer (MP-42)
* The prep-timer date math (MP-70)
* One integration test of the login flow with MSW

h3. Definition of done
* All acceptance criteria personally verified in the browser
* {{npm run build}} - zero TS errors
* {{npm run lint}} - zero warnings (incl. react-hooks/exhaustive-deps; if disabled, comment why on that line)
* Loading / error / empty / success all render, if the ticket touches data
* Every effect that subscribes, unsubscribes
* Every fetch is abortable
* No index keys on dynamic lists
* A note in LEARNING.md - the concept, the Angular equivalent, and the one thing that surprised you",,PHASE 10 - Stretch,frontend stretch testing
MP-104 - Deploy,Story,"h3. Subtasks
* Client to Vercel/Netlify
* Server + Postgres to Railway/Fly/Neon

h3. Definition of done
* All acceptance criteria personally verified in the browser
* {{npm run build}} - zero TS errors
* {{npm run lint}} - zero warnings (incl. react-hooks/exhaustive-deps; if disabled, comment why on that line)
* Loading / error / empty / success all render, if the ticket touches data
* Every effect that subscribes, unsubscribes
* Every fetch is abortable
* No index keys on dynamic lists
* A note in LEARNING.md - the concept, the Angular equivalent, and the one thing that surprised you",,PHASE 10 - Stretch,stretch devops
